id,text,author,link,category,date_of_publication,number_of_tokens,number_of_words_without_punctuation,number_of_types,number_of_links_inside_the_news,number_of_words_in_upper_case,number_of_verbs,number_of_subjunctive_and_imperative_verbs,number_of_nouns,number_of_adjectives,number_of_adverbs,number_of_modal_verbs,number_of_singular_first_and_second_personal_pronouns,number_of_plural_first_personal_pronouns,number_of_pronouns,pausality,number_of_characters,average_sentence_length,average_word_length,percentage_of_news_with_spelling_errors,emotiveness,diversity
1981,"Indígenas receberão indenização de R$ 4 milhões da Gol Linhas Aéreas por queda de avião.  Índios da etnia Kayapó receberam uma indenização de R$ 4 milhões da Gol Linhas Aéreas.  A indenização (que foi acordada entre ambas as partes)  é referente a queda do Boeing em propriedades indígenas. Em 29 de Setembro de 2006,  O Boeing 737,  da companhia aérea Gol,  colidiu no ar com o Jato Legacy-600,  da Embraer e caiu na floresta Amazônica. 154 pessoas,  entre passageiros e tripulantes,  perderam suas vidas. A maioria das famílias assinou um acordo com a Gol e recebeu indenizações,  que variaram de R$ 100 mil a R$ 1 milhão. INDENIZAÇÃO INDÍGENA O acordo foi firmado "" extrajudicialmente "" em Brasília,  no último dia 29 de outubro,  e divulgado hoje (8) pelo MPF. A companhia aérea se comprometeu a pagar a quantia ao Instituto Raoni. Os indígenas alegaram que o local do acidente se tornou uma casa dos espíritos,  onde é proibida a caça,  pesca,  plantio e construção de aldeias. A Gol informou que não irá comentar o assunto.",None,https://www.diariodobrasil.org/indios-receberao-indenizacao-de-r-4-milhoes-da-gol-linhas-aereas-por-queda-de-aviao23/,sociedade_cotidiano,08/11/2016,206,175,117,0,7,24,0,56,6,4,4,0,0,6,2.81818,806,15.9091,4.60571,0.0,0.125,0.668571
2768,"Lula quer que STF reconheça seu ""status"" de ministro. O motivo? Pavor de Sérgio Moro!.  No começo dessa semana,  os advogados do ex-presidente Lula da Silva recorreram ao Supremo pedindo que a Suprema Corte reconheça que o petista foi ministro chefe da Casa Civil do governo Dilma.  Qual a intenção de Lula com essa ação? É simples: LULA TEM PAVOR DE SÉRGIO MORO Caso o pedido seja acolhido,  a defesa poderá questionar atos do juiz Sergio Moro do Paraná,  como a divulgação dos grampos em que Lula é flagrado falando sobre sua posse com a presidente Dilma. Luiz Inácio foi nomeado por Dilma no dia 16/03,  dia em que o juiz Moro autorizou a publicidade dos áudios. A posse de Lula foi no dia 17 e foi suspensa no dia 18 pelo ministro do STF,  Gilmar Mendes. Gilmar alegou que a posse de Lula pode configurar ""uma fraude à Constituição"",  sendo que houve desvio de finalidade por parte de Dilma. De acordo com Mendes,  Dilma indicou o ex-presidente para o governo com o único objetivo de escapar das mãos de Sérgio Moro. A indicação de Lula ocorreu após ele ser alvo da Operação Lava Jato A defesa de Lula alega que não havia impedimentos para que o ex-presidente assumisse o cargo,  uma vez que ele não é réu e tão pouco foi condenado em qualquer ação penal.",None,https://www.diariodobrasil.org/lula-quer-que-stf-reconheca-seu-status-de-ministro-o-motivo-pavor-de-sergio-moro/,politica,25/05/2016,252,231,137,0,7,34,4,73,5,4,7,0,0,9,2.1,994,23.1,4.30303,0.0,0.0841122,0.593074
971,"Site americano afirma que Elvis Presley está vivo, tem 82 anos e vive sob proteção do FBI. .  Para um fã, um ídolo nunca morre [...] mas alguns desses fãs tem exagerado no quesito ""idolatria"". De acordo com a matéria publicada no portal News Week , Elvis Presley foi visto em vários lugares do mundo desde 1977, ano oficial de sua morte. O jornalista escreveu que o Rei do Rock estaria usando o codinome de John Burrows, usado diversas vezes pelo  cantordurante sua carreira. Ela teria forjado sua morte para viver na Argentina porque não suportava a fama e queria desfrutar o resto de sua vida em paz. O plano teria sido planejado pelo FBI, informou a matéria que alega que Elvis colaborou com o serviço secreto dos Estados Unidos (durante anos) na condição de informante. A tal ""missão"" do astro no  FBI não foi detalhada. De acordo com a matéria, Elvis Presley foi visto em vários lugares do mundo desde 1977, ano oficial de sua morte. O jornalista escreveu que o Rei do Rock estaria usando o codinome de John Burrows, usado diversas vezes pelo  cantordurante sua carreira. Ela teria forjado sua morte para viver na Argentina porque não suportava a fama e queria desfrutar o resto de sua vida em paz. O plano teria sido arquitetado pelo FBI, informou a matéria que alega que Elvis colaborou com o serviço secreto dos Estados Unidos (durante anos) na condição de informante. A tal ""missão"" do astro no  FBI não foi detalhada. O The News of America jura que Elvis ainda vive escondido na Argentina e tem hoje 82 anos de idade. A polêmica mais recente é do ano de 2009, onde o rei estaria com 74 anos participando da posse do presidente Barack Obama, em Washington. assista a partir do minuto 1:50",None,https://www.diariodobrasil.org/site-americano-afirma-que-elvis-presley-esta-vivo-tem-82-anos-e-vive-sob-protecao-do-fbi/,tv_celebridades,02/08/2017,339,300,134,1,5,56,1,86,11,11,13,0,0,19,2.05263,1348,15.7895,4.49333,0.01,0.15493,0.446667
1257,"Em vídeo, senador orienta Lula a desacatar Moro: ""Veja se ele tem coragem de te prender"".  Lula e sua ""trupe"" jurídica tentam encontrar uma nova narrativa para tentar justificar os prováveis crimes que ele possa ter cometido durante o exercício da  Presidência.  (Patrícia Carvalho e Aline Sanches de Brasília para o Diário do Brasil) Sem argumentos e usando o discurso repetitivo do vitimismo , o ex-presidente quer emplacar novas abordagens diante dos obstáculos que tem com a justiça. Interlocutores próximos do petista dizem que o ""homem"" está agitado e não consegue esconder sua apreensão quanto ao seu destino. ""Ele conta as horas e os minutos"" , disse um amigo próximo da família. O amigo relata que Lula está com os nervos ""à flor da pele"". O ex-presidente não se cansa de repetir para as pessoas mais próximas que ""esta será a maior batalha de sua vida"". O nervosismo do ex-presidente é justificável. Ele sabe que Sérgio Moro vai pegá-lo de forma definitiva no dia 3 de maio próximo. Pensando nisso, a equipe jurídica do petista tentará convencer o juiz Moro a ser misericordioso com o ex-presidente. Vão argumentar que ""ele fez tudo pelo país, ajudou os pobres, criou o Bolsa-Família"" , enfim, aquele mi-mi-mi do ""nunca antes na história desse país"" que Lula vem representando em seus discursos desde sempre. Os advogados tentarão mostrar para o juiz Moro que é necessário preservar a instituição do Presidente da República e a prisão de Lula poderia manchar a história da democracia no Brasil e abrir um precedente no sistema político do país. Quando estiver frente a frente com Moro, Lula vai pedir ao juiz que seja condescendente com ele e com a democracia do Brasil. Há cerca de um ano , o senador Jorge Viana (PT-AC) conversava com o advogado Roberto Teixeira [que representa Lula] e sugeriu que o ex-presidente transformasse sua defesa numa ""ação política"", desacatando o juiz Sérgio Moro.",None,https://www.diariodobrasil.org/video-mostra-senador-orientando-lula-a-desacatar-moro-veja-se-ele-tem-coragem-de-te-prender/,politica,09/05/2017,365,325,196,0,2,56,5,88,19,10,6,0,0,22,2.66667,1524,21.6667,4.68923,0.00307692,0.201389,0.603077
2613,"Onça que participou do percurso da Tocha Olímpica em Manaus foi abatida pelo Exército.  Na manhã de hoje (20),  uma onça foi abatida no zoológico do Centro de Instrução de Guerra da Selva,  em Manaus.  A onça que interagiu com a Tocha Olímpica na manhã desta segunda-feira (20) foi morta logo após o evento. Juma [como era chamada] estava sendo transferida de uma jaula quando escapou e,  mesmo sofrendo tiros de tranquilizantes,  atacou um militar,  informou o Exército. O animal morreu no local após ser atingido por um tiro de pistola. O exército informou que a ""medida de segurança"" foi tomada diante do risco da integridade física das pessoas que estavam no local. O Comando Militar da Amazônia informou que a onça escapou no momento em que o Centro estava fechado para visitas. A Tocha Olímpica passou pelo Centro de Instrução de Guerra na Selva (CIGS) onde passou pelo Encontro das Águas. Juma estava no local acompanhada de um dos tratadores e ficou bem próximo a um dos participantes do revezamento.",None,https://www.diariodobrasil.org/onca-que-participou-do-percurso-da-tocha-olimpica-em-manaus-foi-abatida-pelo-exercito/,politica,21/06/2016,195,172,99,0,1,32,0,46,3,7,7,0,0,6,2.3,806,17.2,4.68605,0.0,0.128205,0.575581
1867,"Mendes chama protesto de magistrados de ""coisa engraçada"" e toma ""lambada antológica"" de Cármen Lúcia.  Mendes tinha acabado de sair de uma sessão no senado para debater a ""Lei de Abuso de Autoridade"".  Lá no STF,  ocorria simultaneamente,  um julgamento para decidir se Renan Calheiros se tornaria réu em um processo por peculato. Do lado de fora da Suprema Corte,  um grupo com cerca de 100 magistrados protestava contra a retaliação protagonizada pelo Congresso com relação ao avanço da Lava Jato. Chegando no STF,  Gilmar Mendes tomou seu assento e tentou ironizar a ação dos 100 magistrados,  chamando o protesto de ""coisa muito engraçada"". A presidente da Suprema Corte,  ministra Cármen Lúcia (essa nos representa!),  fez uma pausa e deu aquela ""lambada"" em Mendes. Essa mulher é porreta,  sensata,  calma e inteligente. Percebe-se que ela fala pouco [...] e quando fala,  o tiro sai certeiro! confira no vídeo abaixo:",None,https://www.diariodobrasil.org/mendes-chama-protesto-de-magistrados-de-coisa-engracada-e-toma-lambada-antologica-de-carmen-lucia/,politica,02/12/2016,183,149,104,0,2,25,1,42,7,6,2,0,1,8,3.09091,727,13.5455,4.87919,0.0,0.19403,0.697987
856,"Apresentador da Record que sofreu aneurisma ao vivo foi operado e passa bem.  O apresentador do programa ""Record Esportes"", da TV Conquista  afiliada da Record no Mato Grosso  desmaiou ao vivo e precisou ser socorrido às pressas.  O veterano Jorge Zortea precisou ser operado assim que chegou ao hospital. Ele foi vítima de um aneurisma. Gelsner Zortea, que é diretor-geral da emissora e filho de Jorge, disse que o pai rompeu uma artéria do baço e foi socorrido pela equipe de bombeiros do canal. Jorge Zortea foi operado e permanece na UTI. Apesar do susto, seu estado é estável: ""Meu pai teve um bom pós-operatório. Ele se recupera bem e não teve sequelas"" disse Gelsner. Ele ainda comentou que os médicos pensaram se tratar de um infarto, mas essa posibilidade foi descartada após a realização de uma tomografia. abaixo o exato momento em que o apresentador passa mal:",None,https://www.diariodobrasil.org/apresentador-da-record-que-sofreu-aneurisma-ao-vivo-foi-operado-e-passa-bem/,tv_celebridades,30/08/2017,170,150,94,0,2,33,0,38,5,9,6,0,0,11,2.0,699,15.0,4.66,0.00666667,0.197183,0.626667
2484,"Lula chora as pitangas para jornal francês e oculta a verdade: ""Temer demitiu até o garçom do café"".  Em entrevista para um jornal francês (o Libération),  Lula disse que vai voltar às urnas em 2018 e acusou Michel Temer de demitir até o ""garçom do café"".  ""O Brasil deve compreender que os pobres são a solução a nossos problemas econômicos."" Lula disse que Michel Temer tem papel central no "" suposto golpe"": ""Como presidente interino,  ele deveria reunir os ministros de Dilma e se contentar de coordenar as políticas em andamento. Ele age como se o processo de impeachment estivesse concluído,  afastando desde o ministro da Fazenda até o garçom que servia café . É como se Dilma não existisse mais"". Em maio/2016,  sites e redes sociais petistas comoveram a internet com a história de ""pobre garçom"" que teria sido demitido sem justa causa. Petistas informaram que o garçom José Catalão foi dispensado simplesmente pelo fato de ser ""simpatizante do PT"". A situação acabou surpreendendo muita gente e todo o serviço de copeiros foi trocado,  ganhando uma grande repercussão na mídia. O flagrante em cima do ""garçom espião"" aconteceu após a primeira reunião de Ministros do presidente em exercício Michel Temer e foi confirmadopelo jornalista Claudio Humberto do ""Diário do Poder"". Fontes do Planalto confirmaram ao jornalista que o ""garçom 007"" estava a serviço de Dilma e foi flagrado pela segurança presidencial. leia também:",None,https://www.diariodobrasil.org/lula-chora-as-pitangas-para-jornal-frances-e-oculta-a-verdade-temer-demitiu-ate-o-garcom-do-cafe/,tv_celebridades,13/07/2016,273,233,153,0,2,46,3,68,15,5,9,0,0,8,3.33333,1149,19.4167,4.93133,0.00858369,0.175439,0.656652
2868,"Delcídio corre o risco de cair nas mãos de Sérgio Moro e avisa: ""Se eu for,  Lula vai junto"". .  Se a cassação do mandato do senador Delcídio do Amaral for realmente efetivada nos próximos dias ,  o processo do ex-líder do governo no senado será remetido para o juiz Sérgio Moro,  em Curitiba. Delcídio está temporariamente sob ""as graças"" do STF devido à sua delação premiada,  porém,  assim que perder o mandato,  cairá nas garras da 13a. Vara Criminal de Cutitiba. O ex-presidente Lula é o ator principal nas delações de Delcídio. De acordo com os depoimentos do senador,  Luiz Inácio é um dos cabeças do esquema do petrolão. Delcído já avisou: Se eu cair,  Lula cai junto",None,https://www.diariodobrasil.org/delcidio-corre-o-risco-de-cair-nas-maos-de-sergio-moro-e-avisa-se-eu-for-lula-vai-junto/,politica,04/05/2016,138,119,85,0,1,17,4,38,3,7,2,2,0,4,2.375,525,14.875,4.41176,0.00840336,0.181818,0.714286
57,"Terrorista tenta invadir a residência oficial de Temer e é alvejado por tiros do Exército. Terrorista em Brasília ! O segurança da família do presidente Michel Temer foi alo de um atentado terrorista na noite desta quarta-feira. Um jovem tentou invadir o Palácio da Alvorada de carro mas foi impedido por soldados do Exército que atiraram no carro.

Por volta das 19h desta quarta-feira, 28, um rapaz dirigindo uma espécie de van ou SUV preta chegou à portaria do Palácio da Alvorada como se fosse se identificar para entrar. Na hora que o segurança foi abordá-lo, o rapaz acelerou, derrubou o portão de entrada do palácio e seguiu invadindo a residência oficial da Presidência da República.


O soldado do Exército que estava no local começou a disparar tiros de escopeta em direção ao carro. Foram cinco ou seis tiros e o motorista, que parecia menor de idade, só parou o carro perto da igrejinha do Alvorada.

Após deixar o veículo, o rapaz saiu correndo e se escondeu nos jardins do palácio. A segurança vasculhou a área e o achou. O rapaz, que não foi atingido por nenhum tiro, falava frases desconexas quando foi abordado.

A Polícia Federal está no local para investigar o que houve. Uma perícia está sendo realizada no local e o jovem foi detido. Temer, que estava no Planalto na hora do ocorrido, foi informado pelo ministro-chefe do GSI, general Sérgio Etchegoyen, do episódio. O Planalto vai emitir uma nota dando maiores esclarecimentos sob e o ocorrido.",Josias Oliveira,https://afolhabrasil.com.br/politica/terrorista-tenta-invadir-residencia-oficial-de-temer-e-e-alvejado-por-tiros-do-exercito/,politica,2017-06-28,277,253,149,0,2,55,1,69,9,3,12,0,0,12,1.6,1180,16.8667,4.66403,0.00390625,0.0967742,0.588933
1100,"STF manda soltar irmã e primo de Aécio. Ex-assessor de Zezé Perrella também será liberado. .  Mendherson Lima, ex-assessor de Zeze Perrella que foi flagrado (por câmeras) recebendo dinheiro oriundo de propina, foi liberado pelo STF. A 1a turma do STF decidiu soltar o cidadão acusado de receber propina da JBS em nome de Aécio. O ministro Marco Aurélio Mello também defendeu que a decisão fosse estendida para Frederico Medeiros (primo de Aécio) e para de Andrea Neves, irmã do senador. A maioria do colegiado decidiu seguir a sugestão de Marco Aurélio. Andrea, Frederico e o ex-assessor de Zeze Perrella vão ganhar liberdade. Os três irão usar ""tornozeleira eletrônica"". Viva o Brasil! Viva a Justiça!",None,https://www.diariodobrasil.org/stf-manda-soltar-irma-e-primo-de-aecio-ex-assessor-de-zeze-perrella-tambem-sera-liberado/,politica,20/06/2017,135,117,74,0,4,24,3,40,3,2,6,0,0,1,1.8,563,11.7,4.81197,0.0,0.078125,0.632479
